round,season,date,home,team,xg,goals,goals_against,xg_against,opponent,attendance,venue,ref
26,1819,2019-03-15,1,M'Gladbach,1.5,1,1,0.5,Freiburg,46832,Stadion im Borussia-Park,Robert Kampka
26,1819,2019-03-16,1,Stuttgart,1.1,1,1,2.3,Hoffenheim,56743,Mercedes-Benz Arena,Felix Zwayer
26,1819,2019-03-16,1,Augsburg,1,3,1,1.7,Hannover 96,28136,WWK Arena,Manuel Gräfe
26,1819,2019-03-16,1,Wolfsburg,4.2,5,2,1.4,Düsseldorf,25350,Volkswagen Arena,Bastian Dankert
26,1819,2019-03-16,1,Schalke 04,1.2,0,1,1.3,RB Leipzig,59913,Veltins-Arena,Guido Winkmann
26,1819,2019-03-16,1,Hertha BSC,1.6,2,3,2.9,Dortmund,74649,Olympiastadion Berlin,Tobias Welz
26,1819,2019-03-17,1,Leverkusen,1.6,1,3,1.1,Werder Bremen,30210,BayArena,Deniz Aytekin
26,1819,2019-03-17,1,Eint Frankfurt,2.9,1,0,0.5,Nürnberg,51500,Commerzbank-Arena,Bibiana Steinhaus
26,1819,2019-03-17,1,Bayern Munich,2.3,6,0,0.3,Mainz 05,75000,Allianz Arena,Frank Willenborg
27,1819,2019-03-29,1,Hoffenheim,1.7,4,1,2.3,Leverkusen,28350,PreZero Arena,Harm Osmers
27,1819,2019-03-30,1,Dortmund,1.1,2,0,0.2,Wolfsburg,81365,Signal Iduna Park,Markus Schmidt
27,1819,2019-03-30,1,Freiburg,0.7,1,1,2.3,Bayern Munich,24000,Schwarzwald-Stadion,Christian Dingert
27,1819,2019-03-30,1,Düsseldorf,1.4,3,1,0.9,M'Gladbach,52500,Merkur Spielarena,Tobias Stieler
27,1819,2019-03-30,1,Werder Bremen,1.4,3,1,0.9,Mainz 05,40711,Weserstadion,Marco Fritz
27,1819,2019-03-30,1,Nürnberg,1.2,3,0,0.9,Augsburg,42658,Max-Morlock-Stadion,Daniel Siebert
27,1819,2019-03-30,1,RB Leipzig,3.8,5,0,0.9,Hertha BSC,41939,Red Bull Arena,Sören Storks
27,1819,2019-03-31,1,Hannover 96,1,0,1,0.5,Schalke 04,44500,HDI-Arena,Sven Jablonski
27,1819,2019-03-31,1,Eint Frankfurt,1,3,0,0.5,Stuttgart,51500,Commerzbank-Arena,Felix Brych
28,1819,2019-04-05,1,Mainz 05,1.6,5,0,1.4,Freiburg,27305,Opel Arena,Sven Jablonski
28,1819,2019-04-06,1,Wolfsburg,1.5,3,1,1,Hannover 96,23512,Volkswagen Arena,Benjamin Cortus
28,1819,2019-04-06,1,Leverkusen,1.6,2,4,1.5,RB Leipzig,28845,BayArena,Tobias Welz
28,1819,2019-04-06,1,Schalke 04,0.7,1,2,2.2,Eint Frankfurt,61842,Veltins-Arena,Sascha Stegemann
28,1819,2019-04-06,1,Stuttgart,2.8,1,1,2.6,Nürnberg,58757,Mercedes-Benz Arena,Frank Willenborg
28,1819,2019-04-06,1,Hertha BSC,1.3,1,2,2.8,Düsseldorf,51604,Olympiastadion Berlin,Christian Dingert
28,1819,2019-04-06,1,Bayern Munich,3.5,5,0,0.4,Dortmund,75000,Allianz Arena,Manuel Gräfe
28,1819,2019-04-07,1,Augsburg,0.4,0,4,2.7,Hoffenheim,27552,WWK Arena,Robert Schröder
28,1819,2019-04-07,1,M'Gladbach,1.4,1,1,0.8,Werder Bremen,54022,Stadion im Borussia-Park,Daniel Schlager
29,1819,2019-04-12,1,Nürnberg,1.9,1,1,1.2,Schalke 04,50000,Max-Morlock-Stadion,Robert Kampka
29,1819,2019-04-13,1,Hannover 96,0.8,0,1,1.9,M'Gladbach,40200,HDI-Arena,Felix Brych
29,1819,2019-04-13,1,RB Leipzig,1.6,2,0,0.4,Wolfsburg,41212,Red Bull Arena,Daniel Siebert
29,1819,2019-04-13,1,Stuttgart,0.5,0,1,2.5,Leverkusen,53657,Mercedes-Benz Arena,Tobias Stieler
29,1819,2019-04-13,1,Werder Bremen,1.5,2,1,0.7,Freiburg,42100,Weserstadion,Bibiana Steinhaus
29,1819,2019-04-13,1,Dortmund,1.4,2,1,3.2,Mainz 05,81365,Signal Iduna Park,Deniz Aytekin
29,1819,2019-04-14,1,Hoffenheim,3.2,2,0,0.4,Hertha BSC,28010,PreZero Arena,Martin Petersen
29,1819,2019-04-14,1,Düsseldorf,0.9,1,4,3.7,Bayern Munich,54600,Merkur Spielarena,Felix Zwayer
29,1819,2019-04-14,1,Eint Frankfurt,1.7,1,3,2.2,Augsburg,51000,Commerzbank-Arena,Bastian Dankert
30,1819,2019-04-20,1,Bayern Munich,2.7,1,0,0.2,Werder Bremen,75000,Allianz Arena,Tobias Welz
30,1819,2019-04-20,1,Leverkusen,1.5,2,0,0.3,Nürnberg,26405,BayArena,Guido Winkmann
30,1819,2019-04-20,1,Mainz 05,3.4,3,1,2.4,Düsseldorf,29205,Opel Arena,Markus Schmidt
30,1819,2019-04-20,1,Augsburg,2.7,6,0,1.7,Stuttgart,30660,WWK Arena,Manuel Gräfe
30,1819,2019-04-20,1,M'Gladbach,1.7,1,2,2.2,RB Leipzig,51757,Stadion im Borussia-Park,Harm Osmers
30,1819,2019-04-20,1,Schalke 04,1.9,2,5,1.9,Hoffenheim,58958,Veltins-Arena,Christian Dingert
30,1819,2019-04-21,1,Freiburg,0.6,0,4,2.8,Dortmund,24000,Schwarzwald-Stadion,Robert Hartmann
30,1819,2019-04-21,1,Hertha BSC,1.5,0,0,0.7,Hannover 96,38916,Olympiastadion Berlin,Sascha Stegemann
30,1819,2019-04-22,1,Wolfsburg,2,1,1,1.1,Eint Frankfurt,26102,Volkswagen Arena,Marco Fritz
31,1819,2019-04-26,1,Augsburg,0.3,1,4,2.2,Leverkusen,26404,WWK Arena,Frank Willenborg
31,1819,2019-04-27,1,Dortmund,0.9,2,4,1.1,Schalke 04,80196,Signal Iduna Park,Felix Zwayer
31,1819,2019-04-27,1,Eint Frankfurt,1.2,0,0,1.5,Hertha BSC,51500,Commerzbank-Arena,Sven Jablonski
31,1819,2019-04-27,1,RB Leipzig,1.7,2,1,0.9,Freiburg,40826,Red Bull Arena,Robert Schröder
31,1819,2019-04-27,1,Düsseldorf,1.9,4,1,2.7,Werder Bremen,52500,Merkur Spielarena,Benjamin Cortus
31,1819,2019-04-27,1,Hannover 96,1,1,0,2.2,Mainz 05,30400,HDI-Arena,Sören Storks
31,1819,2019-04-27,1,Stuttgart,1.5,1,0,1.5,M'Gladbach,56730,Mercedes-Benz Arena,Bastian Dankert
31,1819,2019-04-28,1,Hoffenheim,2.4,1,4,1.5,Wolfsburg,27725,PreZero Arena,Deniz Aytekin
31,1819,2019-04-28,1,Nürnberg,1.5,1,1,1.8,Bayern Munich,50000,Max-Morlock-Stadion,Tobias Stieler
32,1819,2019-05-03,1,Mainz 05,1.4,3,3,2.3,RB Leipzig,23805,Opel Arena,Bibiana Steinhaus
32,1819,2019-05-04,1,Wolfsburg,1.4,2,0,0.6,Nürnberg,22512,Volkswagen Arena,Daniel Siebert
32,1819,2019-05-04,1,Bayern Munich,3.3,3,1,0.9,Hannover 96,75000,Allianz Arena,Christian Dingert
32,1819,2019-05-04,1,M'Gladbach,1.2,2,2,3,Hoffenheim,51807,Stadion im Borussia-Park,Sascha Stegemann
32,1819,2019-05-04,1,Hertha BSC,2.3,3,1,1.4,Stuttgart,48668,Olympiastadion Berlin,Daniel Schlager
32,1819,2019-05-04,1,Werder Bremen,1,2,2,2.1,Dortmund,42100,Weserstadion,Marco Fritz
32,1819,2019-05-05,1,Schalke 04,1.4,0,0,0.3,Augsburg,59841,Veltins-Arena,Manuel Gräfe
32,1819,2019-05-05,1,Freiburg,1,1,1,0.8,Düsseldorf,24000,Schwarzwald-Stadion,Tobias Welz
32,1819,2019-05-05,1,Leverkusen,2.7,6,1,0.1,Eint Frankfurt,30210,BayArena,Robert Hartmann
33,1819,2019-05-11,1,Augsburg,1.3,3,4,2.5,Hertha BSC,29307,WWK Arena,Guido Winkmann
33,1819,2019-05-11,1,Leverkusen,1.8,1,1,1.4,Schalke 04,30210,BayArena,Deniz Aytekin
33,1819,2019-05-11,1,Hannover 96,1.8,3,0,0.6,Freiburg,38100,HDI-Arena,Robert Hartmann
33,1819,2019-05-11,1,Stuttgart,0.7,3,0,0.6,Wolfsburg,54068,Mercedes-Benz Arena,Felix Brych
33,1819,2019-05-11,1,Hoffenheim,2.3,0,1,0.8,Werder Bremen,30150,PreZero Arena,Bastian Dankert
33,1819,2019-05-11,1,Dortmund,1.2,3,2,1.4,Düsseldorf,81365,Signal Iduna Park,Tobias Stieler
33,1819,2019-05-11,1,Nürnberg,0.8,0,4,2,M'Gladbach,50000,Max-Morlock-Stadion,Frank Willenborg
33,1819,2019-05-11,1,RB Leipzig,0.6,0,0,1.3,Bayern Munich,41939,Red Bull Arena,Manuel Gräfe
33,1819,2019-05-12,1,Eint Frankfurt,1.3,0,2,1.1,Mainz 05,51500,Commerzbank-Arena,Harm Osmers
34,1819,2019-05-18,1,Schalke 04,0.8,0,0,1,Stuttgart,61676,Veltins-Arena,Robert Schröder
34,1819,2019-05-18,1,Werder Bremen,1,2,1,1.6,RB Leipzig,42100,Weserstadion,Felix Brych
34,1819,2019-05-18,1,Düsseldorf,2,2,1,1,Hannover 96,50000,Merkur Spielarena,Benjamin Cortus
34,1819,2019-05-18,1,M'Gladbach,0.5,0,2,2,Dortmund,54022,Stadion im Borussia-Park,Manuel Gräfe
34,1819,2019-05-18,1,Mainz 05,2.7,4,2,1.5,Hoffenheim,28305,Opel Arena,Deniz Aytekin
34,1819,2019-05-18,1,Bayern Munich,4.4,5,1,0.7,Eint Frankfurt,75000,Allianz Arena,Sascha Stegemann
34,1819,2019-05-18,1,Freiburg,1.2,5,1,0.9,Nürnberg,24000,Schwarzwald-Stadion,Markus Schmidt
34,1819,2019-05-18,1,Wolfsburg,2.5,8,1,0.7,Augsburg,24456,Volkswagen Arena,Felix Zwayer
34,1819,2019-05-18,1,Hertha BSC,1.3,1,5,2,Leverkusen,59287,Olympiastadion Berlin,Marco Fritz
1,1819,2018-08-24,0,Hoffenheim,0.9,1,3,2.8,Bayern Munich,75000,Allianz Arena,Bastian Dankert
1,1819,2018-08-25,0,Schalke 04,1.4,1,2,1.3,Wolfsburg,26621,Volkswagen Arena,Patrick Ittrich
1,1819,2018-08-25,0,Nürnberg,1.3,0,1,1.4,Hertha BSC,52729,Olympiastadion Berlin,Tobias Welz
1,1819,2018-08-25,0,Hannover 96,1,1,1,1.8,Werder Bremen,42100,Weserstadion,Felix Brych
1,1819,2018-08-25,0,Eint Frankfurt,0.9,2,0,2,Freiburg,24000,Schwarzwald-Stadion,Manuel Gräfe
1,1819,2018-08-25,0,Augsburg,1.3,2,1,1.3,Düsseldorf,40996,Merkur Spielarena,Markus Schmidt
1,1819,2018-08-25,0,Leverkusen,1.4,0,2,4.1,M'Gladbach,53087,Stadion im Borussia-Park,Christian Dingert
1,1819,2018-08-26,0,Stuttgart,1,0,1,1.1,Mainz 05,28705,Opel Arena,Daniel Siebert
1,1819,2018-08-26,0,RB Leipzig,1.6,1,4,1,Dortmund,80365,Signal Iduna Park,Deniz Aytekin
2,1819,2018-08-31,0,Dortmund,0.7,0,0,0.8,Hannover 96,49000,HDI-Arena,Felix Zwayer
2,1819,2018-09-01,0,Wolfsburg,1.2,3,1,1.5,Leverkusen,26247,BayArena,Sven Jablonski
2,1819,2018-09-01,0,M'Gladbach,1.1,1,1,1.1,Augsburg,29580,WWK Arena,Frank Willenborg
2,1819,2018-09-01,0,Werder Bremen,1.7,2,1,1.2,Eint Frankfurt,50000,Commerzbank-Arena,Sören Storks
2,1819,2018-09-01,0,Freiburg,2.7,1,3,3.5,Hoffenheim,28619,PreZero Arena,Robert Hartmann
2,1819,2018-09-01,0,Mainz 05,0.4,1,1,1.2,Nürnberg,37781,Max-Morlock-Stadion,Guido Winkmann
2,1819,2018-09-01,0,Bayern Munich,1.8,3,0,0.2,Stuttgart,58680,Mercedes-Benz Arena,Harm Osmers
2,1819,2018-09-02,0,Düsseldorf,1.2,1,1,1.8,RB Leipzig,34975,Red Bull Arena,Marco Fritz
2,1819,2018-09-02,0,Hertha BSC,0.6,2,0,1.8,Schalke 04,60181,Veltins-Arena,Sascha Stegemann
3,1819,2018-09-14,0,Eint Frankfurt,0.3,1,3,0.9,Dortmund,81000,Signal Iduna Park,Benjamin Cortus
3,1819,2018-09-15,0,Leverkusen,0.8,1,3,1.3,Bayern Munich,75000,Allianz Arena,Tobias Welz
3,1819,2018-09-15,0,Augsburg,0.7,1,2,2.8,Mainz 05,21105,Opel Arena,Martin Petersen
3,1819,2018-09-15,0,Hoffenheim,2.3,1,2,1.5,Düsseldorf,40111,Merkur Spielarena,Tobias Stieler
3,1819,2018-09-15,0,Hannover 96,1.2,2,3,2.3,RB Leipzig,38937,Red Bull Arena,Robert Kampka
3,1819,2018-09-15,0,Hertha BSC,0.8,2,2,2,Wolfsburg,25090,Volkswagen Arena,Christian Dingert
3,1819,2018-09-15,0,Schalke 04,1.6,1,2,1.3,M'Gladbach,54022,Stadion im Borussia-Park,Manuel Gräfe
3,1819,2018-09-16,0,Nürnberg,1,1,1,0.7,Werder Bremen,42100,Weserstadion,Daniel Schlager
3,1819,2018-09-16,0,Stuttgart,1,3,3,1.1,Freiburg,24000,Schwarzwald-Stadion,Deniz Aytekin
4,1819,2018-09-21,0,Düsseldorf,0.9,0,0,1.4,Stuttgart,54410,Mercedes-Benz Arena,Robert Hartmann
4,1819,2018-09-22,0,Freiburg,2,3,1,0.7,Wolfsburg,23011,Volkswagen Arena,Sascha Stegemann
4,1819,2018-09-22,0,Werder Bremen,1.5,3,2,2.2,Augsburg,28434,WWK Arena,Felix Zwayer
4,1819,2018-09-22,0,M'Gladbach,2.2,2,4,2.8,Hertha BSC,51852,Olympiastadion Berlin,Markus Schmidt
4,1819,2018-09-22,0,Hannover 96,0.7,0,2,1.2,Nürnberg,36736,Max-Morlock-Stadion,Bastian Dankert
4,1819,2018-09-22,0,Dortmund,1.3,1,1,2.1,Hoffenheim,30150,PreZero Arena,Harm Osmers
4,1819,2018-09-22,0,Bayern Munich,2.4,2,0,0.4,Schalke 04,62271,Veltins-Arena,Daniel Siebert
4,1819,2018-09-23,0,Mainz 05,0.8,0,1,1.3,Leverkusen,27473,BayArena,Marco Fritz
4,1819,2018-09-23,0,RB Leipzig,1.5,1,1,1.6,Eint Frankfurt,43800,Commerzbank-Arena,Felix Brych
5,1819,2018-09-25,0,Hertha BSC,1,1,3,2.5,Werder Bremen,39100,Weserstadion,Guido Winkmann
5,1819,2018-09-25,0,Augsburg,1.3,1,1,1.7,Bayern Munich,75000,Allianz Arena,Sören Storks
5,1819,2018-09-25,0,Schalke 04,0.8,0,1,1.5,Freiburg,24000,Schwarzwald-Stadion,Frank Willenborg
5,1819,2018-09-25,0,Hoffenheim,1.9,3,1,1.7,Hannover 96,33500,HDI-Arena,Christian Dingert
5,1819,2018-09-26,0,Leverkusen,1.7,2,1,2.2,Düsseldorf,40046,Merkur Spielarena,Manuel Gräfe
5,1819,2018-09-26,0,Wolfsburg,1,0,0,0.4,Mainz 05,19205,Opel Arena,Tobias Stieler
5,1819,2018-09-26,0,Stuttgart,0.7,0,2,3.2,RB Leipzig,32187,Red Bull Arena,Robert Schröder
5,1819,2018-09-26,0,Eint Frankfurt,1.3,1,3,1.6,M'Gladbach,41257,Stadion im Borussia-Park,Sven Jablonski
5,1819,2018-09-26,0,Nürnberg,0.1,0,7,2.1,Dortmund,75700,Signal Iduna Park,Patrick Ittrich
6,1819,2018-09-28,0,Bayern Munich,2,0,2,1.2,Hertha BSC,74669,Olympiastadion Berlin,Marco Fritz
6,1819,2018-09-29,0,RB Leipzig,1.6,2,1,1.8,Hoffenheim,28115,PreZero Arena,Deniz Aytekin
6,1819,2018-09-29,0,Werder Bremen,1.5,1,2,2.3,Stuttgart,58569,Mercedes-Benz Arena,Tobias Welz
6,1819,2018-09-29,0,Mainz 05,0.9,0,1,1,Schalke 04,61810,Veltins-Arena,Benjamin Cortus
6,1819,2018-09-29,0,M'Gladbach,0.7,2,2,1.3,Wolfsburg,24100,Volkswagen Arena,Felix Zwayer
6,1819,2018-09-29,0,Düsseldorf,1.1,0,3,2.2,Nürnberg,36102,Max-Morlock-Stadion,Harm Osmers
6,1819,2018-09-29,0,Dortmund,2.7,4,2,1.1,Leverkusen,30210,BayArena,Felix Brych
6,1819,2018-09-30,0,Hannover 96,0.4,1,4,2.1,Eint Frankfurt,46300,Commerzbank-Arena,Robert Hartmann
6,1819,2018-09-30,0,Freiburg,1.5,1,4,3.8,Augsburg,26488,WWK Arena,Robert Kampka
7,1819,2018-10-05,0,Wolfsburg,0.4,0,2,1,Werder Bremen,42100,Weserstadion,Martin Petersen
7,1819,2018-10-06,0,Augsburg,2.2,3,4,1.9,Dortmund,81365,Signal Iduna Park,Markus Schmidt
7,1819,2018-10-06,0,Hertha BSC,1.5,0,0,2.1,Mainz 05,22405,Opel Arena,Daniel Schlager
7,1819,2018-10-06,0,Schalke 04,1.6,2,0,0.6,Düsseldorf,52000,Merkur Spielarena,Sven Jablonski
7,1819,2018-10-06,0,Stuttgart,0.9,1,3,1.7,Hannover 96,40800,HDI-Arena,Sascha Stegemann
7,1819,2018-10-06,0,M'Gladbach,0.5,3,0,1.6,Bayern Munich,75000,Allianz Arena,Frank Willenborg
7,1819,2018-10-07,0,Leverkusen,1.1,0,0,0.3,Freiburg,23800,Schwarzwald-Stadion,Bastian Dankert
7,1819,2018-10-07,0,Eint Frankfurt,1,2,1,2.2,Hoffenheim,29785,PreZero Arena,Daniel Siebert
7,1819,2018-10-07,0,Nürnberg,0.2,0,6,2.1,RB Leipzig,37389,Red Bull Arena,Tobias Stieler
8,1819,2018-10-19,0,Düsseldorf,1,1,7,3.7,Eint Frankfurt,51000,Commerzbank-Arena,Deniz Aytekin
8,1819,2018-10-20,0,Hoffenheim,2.2,3,1,1.3,Nürnberg,36472,Max-Morlock-Stadion,Felix Zwayer
8,1819,2018-10-20,0,Dortmund,1.2,4,0,1,Stuttgart,59000,Mercedes-Benz Arena,Manuel Gräfe
8,1819,2018-10-20,0,RB Leipzig,0.9,0,0,0.2,Augsburg,28703,WWK Arena,Tobias Welz
8,1819,2018-10-20,0,Hannover 96,0.6,2,2,2.2,Leverkusen,26435,BayArena,Patrick Ittrich
8,1819,2018-10-20,0,Bayern Munich,2.7,3,1,1.4,Wolfsburg,30000,Volkswagen Arena,Guido Winkmann
8,1819,2018-10-20,0,Werder Bremen,0.4,2,0,1.4,Schalke 04,62271,Veltins-Arena,Christian Dingert
8,1819,2018-10-21,0,Freiburg,0.7,1,1,1.1,Hertha BSC,53716,Olympiastadion Berlin,Benjamin Cortus
8,1819,2018-10-21,0,Mainz 05,1.2,0,4,2.6,M'Gladbach,51123,Stadion im Borussia-Park,Sören Storks
9,1819,2018-10-26,0,M'Gladbach,1.2,1,3,1.5,Freiburg,24000,Schwarzwald-Stadion,Robert Hartmann
9,1819,2018-10-27,0,Augsburg,1.6,2,1,0.8,Hannover 96,37600,HDI-Arena,Robert Kampka
9,1819,2018-10-27,0,Hertha BSC,2.1,2,2,3.7,Dortmund,81000,Signal Iduna Park,Sascha Stegemann
9,1819,2018-10-27,0,Bayern Munich,2.2,2,1,0.3,Mainz 05,33305,Opel Arena,Harm Osmers
9,1819,2018-10-27,0,Wolfsburg,2,3,0,0.6,Düsseldorf,38043,Merkur Spielarena,Daniel Schlager
9,1819,2018-10-27,0,Stuttgart,0.5,0,4,2.9,Hoffenheim,30150,PreZero Arena,Frank Willenborg
9,1819,2018-10-28,0,Eint Frankfurt,1.6,1,1,1,Nürnberg,42154,Max-Morlock-Stadion,Robert Schröder
9,1819,2018-10-28,0,Schalke 04,0.5,0,0,0.7,RB Leipzig,41939,Red Bull Arena,Felix Brych
9,1819,2018-10-28,0,Leverkusen,3.9,6,2,1.9,Werder Bremen,40400,Weserstadion,Marco Fritz
10,1819,2018-11-02,0,Eint Frankfurt,3.1,3,0,0.9,Stuttgart,58016,Mercedes-Benz Arena,Sven Jablonski
10,1819,2018-11-03,0,Freiburg,0.3,1,1,2,Bayern Munich,75000,Allianz Arena,Felix Zwayer
10,1819,2018-11-03,0,Hannover 96,1.9,1,3,2.9,Schalke 04,61959,Veltins-Arena,Markus Schmidt
10,1819,2018-11-03,0,Hoffenheim,1.6,4,1,1.6,Leverkusen,27589,BayArena,Tobias Stieler
10,1819,2018-11-03,0,Nürnberg,1.4,2,2,1.6,Augsburg,30660,WWK Arena,Patrick Ittrich
10,1819,2018-11-03,0,Dortmund,1.4,1,0,0.6,Wolfsburg,30000,Volkswagen Arena,Daniel Siebert
10,1819,2018-11-03,0,RB Leipzig,3.7,3,0,1.4,Hertha BSC,50382,Olympiastadion Berlin,Deniz Aytekin
10,1819,2018-11-04,0,Düsseldorf,0.8,0,3,3.5,M'Gladbach,54022,Stadion im Borussia-Park,Felix Brych
10,1819,2018-11-04,0,Werder Bremen,1.6,1,2,0.8,Mainz 05,25105,Opel Arena,Guido Winkmann
11,1819,2018-11-09,0,Wolfsburg,3.2,1,2,2.1,Hannover 96,35800,HDI-Arena,Marco Fritz
11,1819,2018-11-10,0,Stuttgart,1.5,2,0,0.5,Nürnberg,50000,Max-Morlock-Stadion,Christian Dingert
11,1819,2018-11-10,0,Augsburg,1.3,1,2,2.3,Hoffenheim,27009,PreZero Arena,Robert Schröder
11,1819,2018-11-10,0,M'Gladbach,2,3,1,1.4,Werder Bremen,42100,Weserstadion,Sören Storks
11,1819,2018-11-10,0,Mainz 05,0.9,3,1,1.3,Freiburg,24000,Schwarzwald-Stadion,Sascha Stegemann
11,1819,2018-11-10,0,Hertha BSC,0.8,1,4,2.7,Düsseldorf,38743,Merkur Spielarena,Robert Hartmann
11,1819,2018-11-10,0,Bayern Munich,2.1,2,3,2.5,Dortmund,81365,Signal Iduna Park,Manuel Gräfe
11,1819,2018-11-11,0,Leverkusen,0.4,0,3,2.2,RB Leipzig,36155,Red Bull Arena,Martin Petersen
11,1819,2018-11-11,0,Schalke 04,0.8,0,3,1.7,Eint Frankfurt,50700,Commerzbank-Arena,Benjamin Cortus
12,1819,2018-11-23,0,Stuttgart,0.6,0,2,2.9,Leverkusen,24632,BayArena,Robert Schröder
12,1819,2018-11-24,0,RB Leipzig,0.5,0,1,1.7,Wolfsburg,22832,Volkswagen Arena,Tobias Stieler
12,1819,2018-11-24,0,Eint Frankfurt,3.5,3,1,2.2,Augsburg,30660,WWK Arena,Felix Zwayer
12,1819,2018-11-24,0,Dortmund,1.2,2,1,1,Mainz 05,33305,Opel Arena,Deniz Aytekin
12,1819,2018-11-24,0,Düsseldorf,1.5,3,3,2.6,Bayern Munich,75000,Allianz Arena,Sven Jablonski
12,1819,2018-11-24,0,Hoffenheim,1.5,3,3,3.3,Hertha BSC,44508,Olympiastadion Berlin,Tobias Welz
12,1819,2018-11-24,0,Nürnberg,2.1,2,5,2.7,Schalke 04,62271,Veltins-Arena,Guido Winkmann
12,1819,2018-11-25,0,Werder Bremen,2.4,1,1,2.8,Freiburg,24000,Schwarzwald-Stadion,Bastian Dankert
12,1819,2018-11-25,0,Hannover 96,0.5,1,4,1.8,M'Gladbach,48692,Stadion im Borussia-Park,Daniel Siebert
13,1819,2018-11-30,0,Mainz 05,0.9,1,0,1.6,Düsseldorf,37091,Merkur Spielarena,Manuel Gräfe
13,1819,2018-12-01,0,Bayern Munich,2.4,2,1,0.5,Werder Bremen,42100,Weserstadion,Christian Dingert
13,1819,2018-12-01,0,Hertha BSC,1.3,2,0,1.1,Hannover 96,35800,HDI-Arena,Felix Brych
13,1819,2018-12-01,0,Augsburg,1.1,0,1,0.6,Stuttgart,52739,Mercedes-Benz Arena,Harm Osmers
13,1819,2018-12-01,0,Freiburg,0.1,0,2,2.5,Dortmund,81365,Signal Iduna Park,Frank Willenborg
13,1819,2018-12-01,0,Schalke 04,2.2,1,1,2.2,Hoffenheim,30000,PreZero Arena,Robert Kampka
13,1819,2018-12-02,0,M'Gladbach,0.6,0,2,2.1,RB Leipzig,41939,Red Bull Arena,Markus Schmidt
13,1819,2018-12-02,0,Wolfsburg,1.1,2,1,1.7,Eint Frankfurt,48000,Commerzbank-Arena,Sascha Stegemann
13,1819,2018-12-03,0,Leverkusen,1.6,1,1,0.7,Nürnberg,32238,Max-Morlock-Stadion,Bibiana Steinhaus
14,1819,2018-12-07,0,Düsseldorf,1.2,1,3,1.9,Werder Bremen,41500,Weserstadion,Marco Fritz
14,1819,2018-12-08,0,RB Leipzig,1,0,3,2,Freiburg,23800,Schwarzwald-Stadion,Tobias Welz
14,1819,2018-12-08,0,Dortmund,1.5,2,1,1.4,Schalke 04,61767,Veltins-Arena,Daniel Siebert
14,1819,2018-12-08,0,Nürnberg,0.2,0,3,2.1,Bayern Munich,75000,Allianz Arena,Tobias Stieler
14,1819,2018-12-08,0,Hoffenheim,2,2,2,0.5,Wolfsburg,20602,Volkswagen Arena,Felix Zwayer
14,1819,2018-12-08,0,Augsburg,0.8,0,1,1.7,Leverkusen,25558,BayArena,Bastian Dankert
14,1819,2018-12-08,0,Eint Frankfurt,1.4,0,1,0.4,Hertha BSC,42578,Olympiastadion Berlin,Daniel Schlager
14,1819,2018-12-09,0,Hannover 96,1.4,1,1,2.8,Mainz 05,23305,Opel Arena,Robert Hartmann
14,1819,2018-12-09,0,Stuttgart,0.9,0,3,1.2,M'Gladbach,48590,Stadion im Borussia-Park,Deniz Aytekin
15,1819,2018-12-14,0,Wolfsburg,0.8,2,0,0.8,Nürnberg,29604,Max-Morlock-Stadion,Sven Jablonski
15,1819,2018-12-15,0,Schalke 04,0.6,1,1,1.9,Augsburg,27233,WWK Arena,Manuel Gräfe
15,1819,2018-12-15,0,Hertha BSC,1.1,1,2,1,Stuttgart,47680,Mercedes-Benz Arena,Sascha Stegemann
15,1819,2018-12-15,0,Freiburg,0.9,0,2,2.1,Düsseldorf,39301,Merkur Spielarena,Harm Osmers
15,1819,2018-12-15,0,M'Gladbach,0.5,0,0,2.8,Hoffenheim,30150,PreZero Arena,Benjamin Cortus
15,1819,2018-12-15,0,Bayern Munich,3.4,4,0,0.1,Hannover 96,49000,HDI-Arena,Sören Storks
15,1819,2018-12-15,0,Werder Bremen,0.4,1,2,2.3,Dortmund,81365,Signal Iduna Park,Guido Winkmann
15,1819,2018-12-16,0,Mainz 05,1,1,4,3.2,RB Leipzig,30136,Red Bull Arena,Martin Petersen
15,1819,2018-12-16,0,Leverkusen,1.1,1,2,3.5,Eint Frankfurt,46500,Commerzbank-Arena,Felix Brych
16,1819,2018-12-18,0,Nürnberg,0.9,0,2,2.7,M'Gladbach,42323,Stadion im Borussia-Park,Robert Schröder
16,1819,2018-12-18,0,Stuttgart,0.6,0,2,1.2,Wolfsburg,21780,Volkswagen Arena,Robert Hartmann
16,1819,2018-12-18,0,Dortmund,0.9,1,2,1.6,Düsseldorf,52000,Merkur Spielarena,Tobias Welz
16,1819,2018-12-18,0,Augsburg,0.6,2,2,2,Hertha BSC,27939,Olympiastadion Berlin,Frank Willenborg
16,1819,2018-12-19,0,Leverkusen,0.5,2,1,1.8,Schalke 04,61548,Veltins-Arena,Deniz Aytekin
16,1819,2018-12-19,0,Hannover 96,1.7,1,1,1.9,Freiburg,23500,Schwarzwald-Stadion,Christian Dingert
16,1819,2018-12-19,0,RB Leipzig,0.4,0,1,1.8,Bayern Munich,75000,Allianz Arena,Marco Fritz
16,1819,2018-12-19,0,Hoffenheim,1.5,1,1,2.5,Werder Bremen,40003,Weserstadion,Markus Schmidt
16,1819,2018-12-19,0,Eint Frankfurt,1.1,2,2,1.5,Mainz 05,30805,Opel Arena,Daniel Siebert
